GranuleUR,BeginningDateTime,EndingDateTime,WestBoundingCoordinate,NorthBoundingCoordinate,EastBoundingCoordinate,SouthBoundingCoordinate,TreeHeightMeasurementStatus,BreastHeightMeasurementStatus,BreastHeight,MinimumDiameterMeasured,StemMappedStatus,BreastHeightModeledStatus,DatasetStatus,DataFormat,Geolocated,AcquisitionType,PFTMODIS,WWFEcoregion,SpatialResolution,NumberOfPlots,PlotArea,SubplotSize,ProductionDateTime,SizeMBDataGranule,DayNightFlag
gedicalval_treedata_usa_cascadeeastzone_20200904_r03.csv,2008-07-21T00:00:00Z,2008-08-06T23:59:59Z,-115.8458579,45.27128803,-115.6760494,44.6299228,FALSE,TRUE,1.3716,0.00508,FALSE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Grass;Evergreen Needleleaf trees,South Central Rockies forests,NA,NA,NA,NA,2020-09-04T12:00:00Z,5.569924355,Unspecified
gedicalval_treedata_usa_cflra_20200904_r03.csv,2015-07-13T00:00:00Z,2015-08-18T23:59:59Z,-115.8264022,46.64825424,-114.3722411,45.64750942,FALSE,TRUE,1.3716,0.00508,FALSE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Needleleaf trees;Grass;Deciduous Broadleaf trees,North Central Rockies forests;South Central Rockies forests,NA,NA,NA,NA,2020-09-04T12:00:00Z,29.67135525,Unspecified
gedicalval_treedata_usa_clearcreek_20200904_r03.csv,2010-06-26T00:00:00Z,2010-07-08T23:59:59Z,-115.8361112,46.10238913,-115.6613919,45.9403881,FALSE,TRUE,1.3716,0.00508,FALSE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Needleleaf trees,North Central Rockies forests,NA,NA,NA,NA,2020-09-04T12:00:00Z,4.373969078,Unspecified
gedicalval_treedata_usa_damon_20200904_r03.csv,2007-06-14T00:00:00Z,2007-11-04T23:59:59Z,-119.1464948,44.25093731,-118.9489381,44.0783967,FALSE,TRUE,1.3716,0.00508,FALSE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Needleleaf trees;Grass,Blue Mountains forests,NA,NA,NA,NA,2020-09-04T12:00:00Z,5.254073143,Unspecified
gedicalval_treedata_usa_dcef_20200904_r03.csv,2009-10-20T00:00:00Z,2011-09-01T23:59:59Z,-116.5511833,47.7487417,-116.4851769,47.71996182,FALSE,TRUE,1.3716,0.0254,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Needleleaf trees,North Central Rockies forests,NA,NA,NA,NA,2020-09-04T12:00:00Z,8.421023369,Unspecified
gedicalval_treedata_usa_fernan_20200904_r03.csv,2015-07-17T00:00:00Z,2015-10-19T23:59:59Z,-116.6695944,47.83806907,-116.189556,47.63496056,NA,TRUE,1.3716,0.0127,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Needleleaf trees,North Central Rockies forests,NA,NA,NA,NA,2020-09-04T12:00:00Z,4.521630287,Unspecified
gedicalval_treedata_usa_fitsum_20201028_r03.csv,2012-12-31T00:00:00Z,2012-12-31T23:59:59Z,-115.7605506,45.03849026,-115.736248,44.99796425,TRUE,TRUE,1.3716,0.127,FALSE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Needleleaf trees;Grass,South Central Rockies forests,NA,NA,NA,NA,2020-10-28T12:00:00Z,0.606040001,Unspecified
gedicalval_treedata_usa_michigan_20201028_r03.csv,2011-07-28T00:00:00Z,2012-05-25T23:59:59Z,-88.55332708,46.67751625,-88.47041957,46.60762828,FALSE,FALSE,NA,NA,FALSE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Deciduous Broadleaf trees;Grass;Evergreen Needleleaf trees,Western Great Lakes forests,NA,NA,NA,NA,2020-10-28T12:00:00Z,16.83637524,Unspecified
gedicalval_treedata_usa_moscowmtn_20200904_r03.csv,2003-01-23T00:00:00Z,2009-08-29T23:59:59Z,-116.9861954,46.86538318,-116.6481306,46.77001979,FALSE,TRUE,1.3716,0.1016,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Needleleaf trees;Grass;Cereal crops,North Central Rockies forests;Palouse grasslands,NA,NA,NA,NA,2020-09-04T12:00:00Z,14.6364193,Unspecified
gedicalval_treedata_usa_neonabby_20200904_r03.csv,2015-07-23T00:00:00Z,2018-11-05T23:59:59Z,-122.3870392,45.77673041,-122.2982526,45.7444076,FALSE,TRUE,0.03,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Needleleaf trees,Central and Southern Cascades forests,NA,NA,NA,NA,2020-09-04T12:00:00Z,0.822018623,Unspecified
gedicalval_treedata_usa_neonbart_20200904_r03.csv,2015-08-26T00:00:00Z,2018-09-27T23:59:59Z,-71.31657346,44.06813093,-71.26148864,44.03489611,FALSE,TRUE,0.01,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Deciduous Broadleaf trees,New England-Acadian forests,NA,NA,NA,NA,2020-09-04T12:00:00Z,5.839310646,Unspecified
gedicalval_treedata_usa_neonblan_20200904_r03.csv,2015-04-14T00:00:00Z,2018-09-20T23:59:59Z,-83.97424551,39.08810885,-72.0695997,39.05705921,TRUE,TRUE,0.06,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Broad-leaf crops;Cereal crops;Deciduous Broadleaf trees,Appalachian-Blue Ridge forests,NA,NA,NA,NA,2020-09-04T12:00:00Z,0.477333069,Unspecified
gedicalval_treedata_usa_neonbona_20200904_r03.csv,2016-06-13T00:00:00Z,2017-09-27T23:59:59Z,-147.5890156,65.19570697,-147.4440428,65.15145326,FALSE,TRUE,0.1,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Needleleaf trees;Deciduous Broadleaf trees,Interior Yukon-Alaska alpine tundra,NA,NA,NA,NA,2020-09-04T12:00:00Z,1.29977417,Unspecified
gedicalval_treedata_usa_neonclbj_20200924_r03.csv,2016-02-09T00:00:00Z,2019-01-29T23:59:59Z,-97.66222681,33.41647567,-97.56588104,33.32924421,FALSE,TRUE,0.03,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Grass;Deciduous Broadleaf trees,Central forest-grasslands transition,NA,NA,NA,NA,2020-09-24T12:00:00Z,1.455470085,Unspecified
gedicalval_treedata_usa_neoncper_20200924_r03.csv,2014-09-10T00:00:00Z,2017-09-25T23:59:59Z,-104.7859968,40.86646678,-104.6811599,40.78556523,NA,FALSE,NA,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Grass,Western short grasslands,NA,NA,NA,NA,2020-09-24T12:00:00Z,0.218334198,Unspecified
gedicalval_treedata_usa_neondeju_20200904_r03.csv,2015-06-15T00:00:00Z,2017-05-24T23:59:59Z,-145.7811359,63.93770595,-145.7200138,63.83095604,FALSE,TRUE,0.14,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Needleleaf trees,Interior Alaska-Yukon lowland taiga,NA,NA,NA,NA,2020-09-04T12:00:00Z,1.555573463,Unspecified
gedicalval_treedata_usa_neondela_20200924_r03.csv,2015-06-08T00:00:00Z,2018-11-16T23:59:59Z,-87.81752661,32.54276977,-87.79890842,32.53728523,TRUE,TRUE,0.2,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Deciduous Broadleaf trees,Southeastern mixed forests,NA,NA,NA,NA,2020-09-24T12:00:00Z,2.429735184,Unspecified
gedicalval_treedata_usa_neondsny_20200904_r03.csv,2014-09-24T00:00:00Z,2018-05-03T23:59:59Z,-81.43536536,28.11877118,-81.38376982,28.04648086,FALSE,TRUE,1.25,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Broadleaf trees,Southeastern conifer forests,NA,NA,NA,NA,2020-09-04T12:00:00Z,0.073865891,Unspecified
gedicalval_treedata_usa_neongrsm_20200904_r03.csv,2015-05-18T00:00:00Z,2018-11-16T23:59:59Z,-83.64554873,35.73058859,-83.34389782,35.5895993,FALSE,TRUE,0.02,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Deciduous Broadleaf trees,Appalachian-Blue Ridge forests,NA,NA,NA,NA,2020-09-04T12:00:00Z,3.478514671,Unspecified
gedicalval_treedata_usa_neonguan_20200904_r03.csv,2015-08-13T00:00:00Z,2019-01-22T23:59:59Z,-66.89922888,17.97961272,-66.82444203,17.95140031,FALSE,TRUE,0.01,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Broadleaf trees,Puerto Rican dry forests;NA,NA,NA,NA,NA,2020-09-04T12:00:00Z,0.921875,Unspecified
gedicalval_treedata_usa_neonharv_20200904_r03.csv,2014-01-30T00:00:00Z,2018-10-24T23:59:59Z,-72.27545091,42.5423259,-72.1710476,42.39210427,FALSE,TRUE,0.1,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Deciduous Broadleaf trees;Evergreen Needleleaf trees,New England-Acadian forests,NA,NA,NA,NA,2020-09-04T12:00:00Z,7.025424004,Unspecified
gedicalval_treedata_usa_neonheal_20200904_r03.csv,2015-05-14T00:00:00Z,2017-03-31T23:59:59Z,-149.2883073,63.88857655,-149.1895491,63.86341626,TRUE,TRUE,1.3,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Shrub,Alaska-St. Elias Range tundra,NA,NA,NA,NA,2020-09-04T12:00:00Z,0.065092087,Unspecified
gedicalval_treedata_usa_neonjerc_20200904_r03.csv,2014-08-06T00:00:00Z,2019-03-06T23:59:59Z,-84.46986954,31.20112141,-84.45984846,31.19385858,TRUE,TRUE,0.16,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Deciduous Broadleaf trees,Southeastern conifer forests,NA,NA,NA,NA,2020-09-04T12:00:00Z,0.77396965,Unspecified
gedicalval_treedata_usa_neonjorn_20200924_r03.csv,2015-04-22T00:00:00Z,2019-01-23T23:59:59Z,-106.8655108,32.63102548,-106.7935574,32.57551261,TRUE,TRUE,0.1,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Grass;Shrub,Chihuahuan desert,NA,NA,NA,NA,2020-09-24T12:00:00Z,0.228266716,Unspecified
gedicalval_treedata_usa_neonkonz_20200904_r03.csv,2015-09-23T00:00:00Z,2018-11-08T23:59:59Z,-96.59640122,39.11108791,-96.55197265,39.08789112,TRUE,TRUE,0.1,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Grass,Flint Hills tall grasslands,NA,NA,NA,NA,2020-09-04T12:00:00Z,0.092153549,Unspecified
gedicalval_treedata_usa_neonlaja_20200904_r03.csv,2016-03-17T00:00:00Z,2016-11-04T23:59:59Z,-67.0765338,18.03575056,-67.06663317,18.01839545,TRUE,TRUE,1.2,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Broad-leaf crops;Evergreen Broadleaf trees,Puerto Rican dry forests,NA,NA,NA,NA,2020-09-04T12:00:00Z,0.022604942,Unspecified
gedicalval_treedata_usa_neonleno_20200924_r03.csv,2015-07-14T00:00:00Z,2018-11-19T23:59:59Z,-88.20437261,31.85827233,-88.15894137,31.80672562,FALSE,TRUE,0.13,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Deciduous Broadleaf trees,Southeastern mixed forests,NA,NA,NA,NA,2020-09-24T12:00:00Z,1.93602562,Unspecified
gedicalval_treedata_usa_neonmlbs_20200904_r03.csv,2015-09-28T00:00:00Z,2018-11-27T23:59:59Z,-80.57517803,37.43268411,-80.48898574,37.35710082,FALSE,TRUE,1.3,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Deciduous Broadleaf trees,Appalachian-Blue Ridge forests,NA,NA,NA,NA,2020-09-04T12:00:00Z,3.139277458,Unspecified
gedicalval_treedata_usa_neonmoab_20200924_r03.csv,2014-04-20T00:00:00Z,2018-09-19T23:59:59Z,-109.4280504,38.27314127,-109.3416074,38.20618772,TRUE,TRUE,0.02,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Grass,Colorado Plateau shrublands,NA,NA,NA,NA,2020-09-24T12:00:00Z,0.210514069,Unspecified
gedicalval_treedata_usa_neonniwo_20200924_r03.csv,2015-06-23T00:00:00Z,2019-10-08T23:59:59Z,-105.587417,40.05483837,-105.5422691,40.03380569,TRUE,TRUE,0.01,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Grass;Evergreen Needleleaf trees,Colorado Rockies forests,NA,NA,NA,NA,2020-09-24T12:00:00Z,2.973077774,Unspecified
gedicalval_treedata_usa_neonnogp_20200924_r03.csv,2015-06-24T00:00:00Z,2015-10-26T23:59:59Z,-100.9211122,46.77301427,-100.9095488,46.76677374,NA,FALSE,NA,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Grass;Cereal crops,Northern short grasslands,NA,NA,NA,NA,2020-09-24T12:00:00Z,0.027197838,Unspecified
gedicalval_treedata_usa_neononaq_20200924_r03.csv,2014-08-21T00:00:00Z,2019-10-09T23:59:59Z,-112.5428338,40.21268111,-112.4300373,40.14515975,TRUE,TRUE,1,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Grass;Evergreen Needleleaf trees,Great Basin shrub steppe,NA,NA,NA,NA,2020-09-24T12:00:00Z,0.388575554,Unspecified
gedicalval_treedata_usa_neonornl_20200924_r03.csv,2016-11-29T00:00:00Z,2018-12-12T23:59:59Z,-84.35061962,35.98238426,-84.21252507,35.90775886,FALSE,TRUE,0.3,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Deciduous Broadleaf trees;Water,Appalachian-Blue Ridge forests,NA,NA,NA,NA,2020-09-24T12:00:00Z,2.111363411,Unspecified
gedicalval_treedata_usa_neonosbs_20200904_r03.csv,2014-09-18T00:00:00Z,2019-01-14T23:59:59Z,-82.02578654,29.72277901,-81.94162061,29.67757796,FALSE,TRUE,0.07,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Broadleaf trees;Deciduous Broadleaf trees,Southeastern conifer forests,NA,NA,NA,NA,2020-09-04T12:00:00Z,2.080988884,Unspecified
gedicalval_treedata_usa_neonpuum_20200924_r03.csv,2018-03-29T00:00:00Z,2019-09-23T23:59:59Z,-155.3478512,19.58651107,-155.3109819,19.54867796,FALSE,TRUE,0.01,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Broadleaf trees;Grass,Hawaii tropical moist forests,NA,NA,NA,NA,2020-09-24T12:00:00Z,1.318385124,Unspecified
gedicalval_treedata_usa_neonrmnp_20200924_r03.csv,2017-09-26T00:00:00Z,2019-10-10T23:59:59Z,-105.5469927,40.27868829,-105.4657378,40.15420085,FALSE,TRUE,1.3,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Needleleaf trees;Grass,Colorado Rockies forests,NA,NA,NA,NA,2020-09-24T12:00:00Z,1.925895691,Unspecified
gedicalval_treedata_usa_neonscbi_20200904_r03.csv,2015-09-25T00:00:00Z,2018-11-02T23:59:59Z,-78.16909445,38.90442262,-78.12014443,38.86689039,FALSE,TRUE,0.1,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Deciduous Broadleaf trees,Appalachian-Blue Ridge forests,NA,NA,NA,NA,2020-09-04T12:00:00Z,2.548807144,Unspecified
